#include	PREPROCESSADOR	1	1
<stdio.h>	HEADER_SISTEMA	1	10
#include	PREPROCESSADOR	2	1
"meuheader.h"	HEADER_ARQUIVO	2	10
#define	PREPROCESSADOR	3	1
int	PALAVRA_CHAVE	5	1
global	IDENTIFICADOR	5	5
=	ATRIBUICAO	5	12
;	PONTUACAO	5	14
variavel	IDENTIFICADOR	7	1
=	ATRIBUICAO	7	10
21	NUMERO_INT	7	12
;	PONTUACAO	7	14
float	PALAVRA_CHAVE	9	1
soma	IDENTIFICADOR	9	7
(	DELIMITADOR	9	11
int	PALAVRA_CHAVE	9	12
a	IDENTIFICADOR	9	16
,	PONTUACAO	9	17
float	PALAVRA_CHAVE	9	19
b	IDENTIFICADOR	9	25
{	DELIMITADOR	9	27
return	PALAVRA_CHAVE	10	5
a	IDENTIFICADOR	10	12
+	OPERADOR	10	14
b	IDENTIFICADOR	10	16
}	DELIMITADOR	11	1
int	PALAVRA_CHAVE	13	1
main	IDENTIFICADOR	13	5
(	DELIMITADOR	13	9
)	DELIMITADOR	13	10
{	DELIMITADOR	13	12
int	PALAVRA_CHAVE	15	5
x	IDENTIFICADOR	15	9
=	ATRIBUICAO	15	11
10	NUMERO_INT	15	13
int	PALAVRA_CHAVE	16	5
y	IDENTIFICADOR	16	9
=	ATRIBUICAO	16	11
;	PONTUACAO	16	13
if	PALAVRA_CHAVE	18	5
(	DELIMITADOR	18	8
x	IDENTIFICADOR	18	9
>	LOGICA	18	11
)	DELIMITADOR	18	13
{	DELIMITADOR	18	15
printf	IDENTIFICADOR	19	9
(	DELIMITADOR	19	15
"erro no if\n"	STRING	19	16
)	DELIMITADOR	19	30
;	PONTUACAO	19	31
else	PALAVRA_CHAVE	20	5
printf	IDENTIFICADOR	21	9
(	DELIMITADOR	21	15
"faltou chave\n"	STRING	21	16
)	DELIMITADOR	21	32
;	PONTUACAO	21	33
while	PALAVRA_CHAVE	23	5
x	IDENTIFICADOR	23	11
<	LOGICA	23	13
10	NUMERO_INT	23	15
)	DELIMITADOR	23	17
{	DELIMITADOR	23	19
x	IDENTIFICADOR	24	9
++	OPERADOR	24	10
;	PONTUACAO	24	12
}	DELIMITADOR	25	5
for	PALAVRA_CHAVE	27	5
(	DELIMITADOR	27	9
int	PALAVRA_CHAVE	27	10
i	IDENTIFICADOR	27	14
=	ATRIBUICAO	27	16
;	PONTUACAO	27	18
i	IDENTIFICADOR	27	20
<	LOGICA	27	22
10	NUMERO_INT	27	24
i	IDENTIFICADOR	27	27
++	OPERADOR	27	28
)	DELIMITADOR	27	30
{	DELIMITADOR	27	32
printf	IDENTIFICADOR	28	9
(	DELIMITADOR	28	15
"%d\n"	STRING	28	16
,	PONTUACAO	28	22
i	IDENTIFICADOR	28	24
)	DELIMITADOR	28	25
}	DELIMITADOR	29	5
do	PALAVRA_CHAVE	31	5
{	DELIMITADOR	31	8
y	IDENTIFICADOR	32	9
++	OPERADOR	32	10
}	DELIMITADOR	33	5
while	PALAVRA_CHAVE	33	7
(	DELIMITADOR	33	13
y	IDENTIFICADOR	33	14
<	LOGICA	33	16
5	NUMERO_INT	33	18
)	DELIMITADOR	33	19
int	PALAVRA_CHAVE	35	5
vetor	IDENTIFICADOR	35	9
[	DELIMITADOR	35	14
10	NUMERO_INT	35	15
;	PONTUACAO	35	17
vetor	IDENTIFICADOR	37	5
[	DELIMITADOR	37	10
2	NUMERO_INT	37	11
=	ATRIBUICAO	37	13
5	NUMERO_INT	37	15
;	PONTUACAO	37	16
struct	PALAVRA_CHAVE	39	5
Pessoa	IDENTIFICADOR	39	12
{	DELIMITADOR	39	19
int	PALAVRA_CHAVE	40	9
idade	IDENTIFICADOR	40	13
char	PALAVRA_CHAVE	41	9
nome	IDENTIFICADOR	41	14
[	DELIMITADOR	41	18
50	NUMERO_INT	41	19
]	DELIMITADOR	41	21
;	PONTUACAO	41	22
}	DELIMITADOR	42	5
;	PONTUACAO	42	6
if	PALAVRA_CHAVE	44	5
(	DELIMITADOR	44	8
)	DELIMITADOR	44	9
{	DELIMITADOR	44	11
y	IDENTIFICADOR	45	6
=	ATRIBUICAO	45	8
2	NUMERO_INT	45	10
;	PONTUACAO	45	11
}	DELIMITADOR	46	5
Pessoa	IDENTIFICADOR	48	5
p	IDENTIFICADOR	48	12
;	PONTUACAO	48	13
p	IDENTIFICADOR	49	5
.	PONTUACAO	49	6
idade	IDENTIFICADOR	49	7
=	ATRIBUICAO	49	13
;	PONTUACAO	49	15
soma	IDENTIFICADOR	51	5
(	DELIMITADOR	51	9
10	NUMERO_INT	51	10
,	PONTUACAO	51	12
)	DELIMITADOR	51	14
;	PONTUACAO	51	15
return	PALAVRA_CHAVE	53	5
0	NUMERO_INT	53	12
}	DELIMITADOR	54	1
